#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 23 30 999 99.0 99.0  0.68 11.76  7.66 235 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 03 00 00 999 99.0 99.0  0.67 12.50  7.71 236 9999.0  11.1  12.1 999.0 99.0 99.00
2022 01 03 01 00 999 99.0 99.0  0.66 14.29  6.82 223 9999.0  11.7  11.8 999.0 99.0 99.00
2022 01 03 01 30 999 99.0 99.0  0.66 14.29  6.41 215 9999.0  11.4  11.4 999.0 99.0 99.00
2022 01 03 02 00 999 99.0 99.0  0.71 13.33  5.86 226 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 02 30 999 99.0 99.0  0.71 13.33  5.56 232 9999.0  10.2  11.5 999.0 99.0 99.00
2022 01 03 03 00 999 99.0 99.0  0.75 14.29  5.56 221 9999.0   9.8  11.8 999.0 99.0 99.00
2022 01 03 03 30 999 99.0 99.0  0.71 14.29  5.69 220 9999.0   9.6  11.4 999.0 99.0 99.00
2022 01 03 04 00 999 99.0 99.0  0.64 13.33  4.93 230 9999.0   9.2  11.4 999.0 99.0 99.00
2022 01 03 04 30 999 99.0 99.0  0.67 14.29  5.97 225 9999.0   8.7  11.7 999.0 99.0 99.00
2022 01 03 05 00 999 99.0 99.0  0.63 13.33  5.80 231 9999.0   8.5  11.7 999.0 99.0 99.00
2022 01 03 05 30 999 99.0 99.0  0.65 14.29  6.33 232 9999.0   9.0  11.7 999.0 99.0 99.00
2022 01 03 06 00 999 99.0 99.0  0.59 13.33  6.05 238 9999.0   8.8  11.8 999.0 99.0 99.00
2022 01 03 06 30 999 99.0 99.0  0.60 14.29  6.66 223 9999.0   8.9  11.8 999.0 99.0 99.00
2022 01 03 07 00 999 99.0 99.0  0.61 14.29  6.73 230 9999.0   8.6  11.8 999.0 99.0 99.00
2022 01 03 07 30 999 99.0 99.0  0.61 13.33  6.82 241 9999.0   8.9  11.8 999.0 99.0 99.00
2022 01 03 08 00 999 99.0 99.0  0.57 13.33  6.83 231 9999.0   9.0  11.8 999.0 99.0 99.00
2022 01 03 08 30 999 99.0 99.0  0.56 13.33  6.99 232 9999.0   9.3  11.8 999.0 99.0 99.00
2022 01 03 09 00 999 99.0 99.0  0.59 13.33  7.20 237 9999.0   9.0  11.8 999.0 99.0 99.00
2022 01 03 09 30 999 99.0 99.0  0.60 14.29  7.32 227 9999.0   9.2  11.8 999.0 99.0 99.00
2022 01 03 10 00 999 99.0 99.0  0.58 14.29  7.44 221 9999.0   9.1  11.8 999.0 99.0 99.00
2022 01 03 10 30 999 99.0 99.0  0.61 14.29  7.83 216 9999.0   9.8  11.8 999.0 99.0 99.00
2022 01 03 11 00 999 99.0 99.0  0.61 14.29  7.23 220 9999.0   9.6  11.8 999.0 99.0 99.00
2022 01 03 11 30 999 99.0 99.0  0.61 14.29  5.92 219 9999.0   9.5  11.8 999.0 99.0 99.00
