Date,Index
1929-12-13,21.700001
1929-12-16,21.33
1929-12-17,21.559999
1929-12-18,21.42
1929-12-19,20.85
1929-12-20,20.16
1929-12-23,20.26
1929-12-24,20.389999
1929-12-26,20.84
1929-12-27,20.82
1929-12-30,20.889999
1929-12-31,21.450001
1930-1-2,21.18
1930-1-3,21.23
1930-1-6,21.5
1930-1-7,21.309999
1930-1-8,21.290001
1930-1-9,21.620001
1930-1-10,21.549999
1930-1-13,21.52
1930-1-14,21.559999
1930-1-15,21.65
1930-1-16,21.5
1930-1-17,21.309999
1930-1-20,21.5
1930-1-21,21.610001
1930-1-22,21.629999
1930-1-23,21.84
1930-1-24,22.040001
1930-1-27,22.209999
1930-1-28,22.1
1930-1-29,22.35
1930-1-30,22.469999
1930-1-31,22.790001
1930-2-3,22.74
1930-2-4,23.01
1930-2-5,23.309999
1930-2-6,23.059999
1930-2-7,22.969999
1930-2-10,23.120001
1930-2-11,23.32
1930-2-13,23.360001
1930-2-14,23.35
1930-2-17,23.26
1930-2-18,23.280001
1930-2-19,23.07
1930-2-20,22.639999
1930-2-21,22.92
1930-2-24,22.68
1930-2-25,22.889999
1930-2-26,23.110001
1930-2-27,23.08
1930-2-28,23.280001
1930-3-3,23.360001
1930-3-4,23.540001
1930-3-5,23.360001
1930-3-6,23.59
1930-3-7,23.59
1930-3-10,23.67
1930-3-11,23.719999
1930-3-12,23.459999
1930-3-13,23.6
1930-3-14,23.450001
1930-3-17,23.67
1930-3-18,23.9
1930-3-19,24.030001
1930-3-20,24.139999
1930-3-21,24.290001
1930-3-24,24.280001
1930-3-25,24.25
1930-3-26,24.620001
1930-3-27,24.57
1930-3-28,24.85
1930-3-31,24.15
1930-4-1,25.370001
1930-4-2,25.110001
1930-4-3,25.16
1930-4-4,25.540001
1930-4-7,25.6
1930-4-8,25.459999
1930-4-9,25.870001
1930-4-10,25.92
1930-4-11,25.84
1930-4-14,25.73
1930-4-15,25.74
1930-4-16,25.559999
1930-4-17,25.75
1930-4-21,25.290001
1930-4-22,25.5
1930-4-23,25.549999
1930-4-24,25.35
1930-4-25,25.32
1930-4-28,24.76
1930-4-29,24.73
1930-4-30,24.9
1930-5-1,24.299999
1930-5-2,23.57
1930-5-5,22.98
1930-5-6,23.76
1930-5-7,23.309999
1930-5-8,23.4
1930-5-9,23.690001
1930-5-12,24.09
1930-5-13,24.42
1930-5-14,24.57
1930-5-15,24.17
1930-5-16,24.280001
1930-5-19,23.75
1930-5-20,23.860001
1930-5-21,23.74
1930-5-22,23.790001
1930-5-23,24.030001
1930-5-26,24.23
1930-5-27,24.24
1930-5-28,24.379999
1930-5-29,24.49
1930-6-2,24.4
1930-6-3,24.18
1930-6-4,24.290001
1930-6-5,23.91
1930-6-6,23.52
1930-6-9,22.379999
1930-6-10,23.01
1930-6-11,22.200001
1930-6-12,22.129999
1930-6-13,22.26
