Decimal_Year,Index
2014.9013698630138,2072.83
2014.9068493150685,2067.56
2014.9150684931508,2053.44
2014.9178082191781,2066.55
2014.9205479452055,2074.33
2014.9232876712329,2071.92
2014.9260273972602,2075.37
2014.9342465753425,2060.31
2014.9369863013699,2059.82
2014.9397260273972,2026.14
2014.9424657534246,2035.33
2014.945205479452,2002.33
2014.9534246575342,1989.63
2014.9561643835616,1972.74
2014.958904109589,2012.89
2014.9616438356165,2061.23
2014.964383561644,2070.65
2014.972602739726,2078.54
2014.9753424657533,2082.17
2014.978082191781,2081.88
2014.9835616438356,2088.77
2014.9917808219177,2090.57
2014.9945205479453,2080.35
2014.9972602739726,2058.9
2015.0027397260274,2058.2
2015.0109589041097,2020.58
2015.013698630137,2002.61
2015.0164383561644,2025.9
2015.0191780821917,2062.14
2015.021917808219,2044.81
2015.0301369863014,2028.26
2015.0328767123287,2023.03
2015.035616438356,2011.27
2015.0383561643835,1992.67
2015.041095890411,2019.42
2015.0520547945205,2022.55
2015.054794520548,2032.12
2015.0575342465754,2063.15
2015.0602739726028,2051.82
2015.0684931506848,2057.09
2015.0712328767124,2029.55
2015.0739726027398,2002.16
2015.0767123287671,2021.25
2015.0794520547945,1994.99
2015.0876712328768,2020.85
2015.0904109589042,2050.03
2015.0931506849315,2041.51
2015.0958904109589,2062.52
2015.0986301369862,2055.47
2015.1068493150685,2046.74
2015.109589041096,2068.59
2015.1123287671232,2068.53
2015.1150684931506,2088.48
2015.1178082191782,2096.99
2015.1287671232876,2100.34
2015.131506849315,2099.68
2015.1342465753426,2097.45
2015.13698630137,2110.3
2015.145205479452,2109.66
2015.1479452054793,2115.48
2015.150684931507,2113.86
2015.1534246575343,2110.74
2015.1561643835616,2104.5
2015.164383561644,2117.39
2015.1671232876713,2107.78
2015.1698630136987,2098.53
2015.172602739726,2101.04
2015.1753424657534,2071.26
2015.1835616438357,2079.43
2015.186301369863,2044.16
2015.1890410958904,2040.24
2015.1917808219177,2065.95
2015.194520547945,2053.4
2015.2027397260274,2081.19
2015.2054794520548,2074.28
2015.2082191780821,2099.5
2015.2109589041097,2089.27
2015.213698630137,2108.1
2015.2219178082191,2104.42
2015.2246575342465,2091.5
2015.227397260274,2061.05
2015.2301369863014,2056.15
2015.2328767123288,2061.02
2015.2410958904109,2086.24
2015.2438356164384,2067.89
2015.2465753424658,2059.69
2015.2493150684932,2066.96
2015.2602739726028,2080.62
2015.2630136986302,2076.33
2015.2657534246575,2081.9
2015.268493150685,2091.18
2015.2712328767122,2102.06
